Condition,Fluxes
WT,3.49411994984859e-08
WT,3.32013875343744e-09
WT,6.41746368094672e-09
WT,2.98939617627891e-09
WT,2.83994165136091e-10
WT,5.4893134195141e-10
WT,1.77656870211958e-08
WT,1.68757343545853e-09
WT,3.26191011215796e-09
WT,2.91536927439654e-08
WT,2.76874577942352e-09
WT,1.25206688625904e-07
WT,7.77759658181124e-08
WT,7.38566348433617e-09
WT,1.42758155989801e-08
WT,8.03302463156599e-08
WT,7.62662638846391e-09
WT,1.47416263822882e-08
WT,5.08091971280292e-09
WT,4.82286660580339e-10
WT,9.32222307888243e-10
WT,2.05726236494216e-08
WT,1.95256662632039e-09
WT,3.77416666249807e-09
WT,6.37653544207805e-08
WT,6.05076678342736e-09
WT,1.16957216267918e-08
WT,3.92014254033161e-09
WT,3.71947874194553e-10
WT,7.18951163213836e-10
WT,1.80163342992696e-08
WT,1.70905967931159e-09
WT,3.30351211966157e-09
WT,3.79289541947763e-08
WT,3.59725541094209e-09
WT,6.95330605721332e-09
WT,7.09546800841991e-09
WT,6.72877343943231e-10
WT,1.30063872278883e-09
WT,8.74911460332719e-09
WT,8.29524101597799e-10
WT,1.60343429923751e-09
WT,3.38442084025258e-08
WT,6.46211465546331e-10
WT,1.24910086037729e-09
WT,2.70015028439673e-09
WT,2.55928674282384e-10
WT,4.94701441422771e-10
WT,3.93574541175929e-08
WT,3.72966126456612e-09
WT,7.20933066507091e-09
WT,2.06173313373402e-08
WT,1.95357515744268e-09
WT,3.77621201898595e-09
WT,1.43585033559342e-08
WT,1.3602481357834e-09
WT,2.62933398818956e-09
WT,3.16521993616685e-08
WT,2.99825479204267e-09
WT,5.79557909539089e-09
WT,3.17740437258162e-08
WT,3.00918514067163e-09
WT,5.8167255499683e-09
WT,1.9016204361452e-10
WT,1.8005734752836e-11
WT,3.48050205646723e-11
WT,5.29758024595659e-08
WT,5.93793153661863e-10
WT,1.14780183345648e-09
WT,3.70128094758538e-08
WT,3.50353015707373e-09
WT,6.77234388615236e-09
WT,2.32806348283468e-08
WT,2.20346215810267e-09
WT,4.25931151542399e-09
WT,4.11724864422803e-08
WT,3.89610300281489e-09
WT,7.53122444465616e-09
WT,3.39609944261608e-11
WT,2.24398667592036e-12
WT,1.45802647094004e-11
WT,6.43705746337732e-08
WT,6.08946798410952e-09
WT,1.17710845280635e-08
WT,4.13408643076688e-08
WT,3.91006532079124e-09
WT,7.55827153208828e-09
WT,4.30252195455125e-09
WT,4.06896541854692e-10
WT,7.86544231669166e-10
WT,1.60238228524946e-08
WT,1.51509638351619e-09
WT,2.92873924745363e-09
WT,2.16845924887418e-08
WT,2.04992687508263e-09
WT,3.96259933507368e-09
WT,4.17926893765196e-09
WT,3.95042654017098e-10
WT,7.63636109014945e-10
WT,3.58311234587129e-08
WT,3.38623651438183e-09
WT,6.54577536891822e-09
WT,1.45427823997066e-08
WT,1.37423562722044e-09
WT,2.65647468278871e-09
WT,3.10686281177557e-08
WT,2.9352788457815e-09
WT,5.67407642750588e-09
WT,4.76327176315554e-08
WT,4.49931769245865e-09
WT,8.69748740850925e-09
WT,1.83871354345106e-08
WT,1.33999854531118e-09
WT,2.59031236540007e-09
WT,1.26506320486138e-07
WT,2.72388805664253e-09
WT,5.26548521103381e-09
WT,4.33987479495651e-08
WT,4.09776073809984e-09
WT,7.92129907137092e-09
WT,2.89587466871746e-08
WT,2.73378284269355e-09
WT,5.28463683207977e-09
WT,2.09379372167394e-08
WT,1.97620878200028e-09
WT,3.8201928016404e-09
WT,2.11606497679193e-07
WT,1.99703228051867e-08
WT,3.86045243910097e-08
WT,9.84915204049156e-08
WT,9.29330342903198e-09
WT,1.79648896655742e-08
WT,3.89949910612011e-08
WT,3.67906412324238e-09
