Condition,Fluxes
WT,5.70743075968753e-08
WT,1.15467514520674e-08
WT,7.26557690244752e-09
WT,1.2097311320743e-08
WT,2.11905976001471e-08
WT,2.4582380498906e-09
WT,5.52688727186608e-08
WT,1.85954818352572e-08
WT,3.67763779133788e-08
WT,3.39509105437776e-08
WT,3.36532237794407e-08
WT,3.30600645068803e-08
WT,5.62030155455276e-09
WT,3.00327534041259e-08
WT,5.03702110634235e-09
WT,4.43392406660168e-08
WT,3.23372762767168e-08
WT,2.2786116567238e-08
WT,2.78640837398847e-08
WT,2.10173752781922e-07
WT,1.96854281763114e-08
WT,2.09095414487397e-08
WT,3.14062490156884e-08
WT,7.2839274213035e-07
WT,5.91397208408723e-08
WT,3.0366287587386e-08
WT,8.60838203121729e-08
WT,1.0253352956277e-08
WT,3.81451190047561e-08
WT,2.09338846600114e-08
WT,2.65353153644705e-08
WT,2.11238986177114e-08
WT,2.99349988342191e-09
WT,3.28395369213427e-09
WT,2.10093781886023e-09
WT,0
WT,7.78936710546955e-09
WT,6.99189591596854e-08
WT,2.53237277681776e-08
WT,7.03665713676664e-09
WT,1.21421819769296e-08
WT,8.63421070140763e-08
WT,3.11502985734776e-08
WT,2.26546706284156e-08
WT,1.49642457097197e-09
WT,2.83556675647301e-08
WT,7.79417157743189e-08
WT,2.57288342967582e-09
WT,1.25237382555672e-09
WT,7.33924653738564e-08
WT,8.802581777193e-08
WT,3.25905629292504e-10
WT,2.12844285037546e-08
WT,3.20134858337444e-08
WT,2.38798027465593e-08
WT,3.6952395148404e-08
WT,1.85494406900835e-08
WT,1.60071896470045e-09
WT,1.43395804373926e-08
WT,4.49571569095599e-08
WT,4.41050424011689e-08
WT,3.00745708402651e-08
WT,3.20619361423941e-08
WT,2.92509663627833e-08
WT,1.73520324356475e-08
WT,1.41509802906569e-08
WT,6.98599674454929e-09
WT,4.32111950704091e-08
WT,6.38937444442759e-09
WT,2.47628975483345e-08
WT,1.79526508111444e-08
WT,7.21302262715986e-09
WT,4.5350215154504e-08
WT,7.83137065963819e-09
WT,6.72332896763168e-09
WT,9.01917719117304e-08
WT,3.53405307283472e-08
WT,1.74551705045223e-08
WT,3.13664005395689e-08
WT,4.48232273419147e-08
WT,1.80146658664442e-08
WT,1.56025853680698e-09
WT,1.1963868300361e-08
WT,2.67744690109013e-08
WT,4.44420423119578e-09
WT,2.10726403726574e-08
WT,4.87208525173125e-08
WT,1.82260756538716e-08
WT,1.85784440515081e-08
WT,1.95315126407092e-08
WT,9.21784893286684e-09
WT,3.45652038484521e-08
WT,1.88533669909827e-08
WT,4.86722696062533e-08
WT,1.16144602287151e-08
WT,3.43302751224952e-08
WT,2.60255823298292e-09
WT,4.01160615796262e-08
WT,5.86823157679458e-08
WT,6.05421575869603e-08
WT,1.35283038797272e-08
WT,2.89045357806175e-08
WT,5.07825480020364e-08
WT,4.17838857017969e-08
WT,4.53257197814226e-08
WT,2.06050433527243e-08
WT,9.69980947885412e-09
WT,1.12026676993766e-07
WT,3.72273516437601e-08
WT,1.72868304619382e-08
WT,1.86154927126995e-08
WT,3.18953040958099e-08
WT,1.53103992409574e-09
WT,8.0429264366629e-09
WT,5.38211415943424e-09
