Condition,Fluxes
WT,0.000169565755835576
WT,0.000237886936844514
WT,0.000237886580004201
WT,0.000227694908409845
WT,0.000237885129652083
WT,0.000237885066980168
WT,8.16001886504923e-05
WT,0.000135163046611351
WT,0.000147297755093782
WT,0.000169119172108975
WT,6.43025306533745e-11
WT,0.000145520951940073
WT,0.000152201208683229
WT,0.000165035831182429
WT,0.00019928907431752
WT,0.000206026593273382
WT,0.000160170700648208
WT,0.000198602302124606
WT,0.000237886663980518
WT,0.000237886248240236
WT,0.000237886245003141
WT,0.00020091282279081
WT,0.000222928815923919
WT,0.000152657439385425
WT,0.000237886449249324
WT,0.000142484126300031
WT,0.000214418981570912
WT,0.000223948326303536
WT,0.000175614245868551
WT,0.000160426317869734
WT,0.000133246306046287
WT,0.000237886488439698
WT,0.000227037019374358
WT,0.000211165939685693
WT,0.000237886659811817
WT,0.000136085581404533
WT,0.000237885865068751
WT,0.000237886668281395
WT,0.000155004637246159
WT,0.000190345884057963
WT,0.000237886313926202
WT,0.000205543314179397
WT,0.000237881926740944
WT,2.16322367612771e-05
WT,1.69007206259313e-10
WT,4.66547383898356e-11
WT,1.23272822296047e-06
WT,0.000139930395518824
WT,0.000170638107223342
WT,0.0002378869324329
WT,9.36155890153432e-05
WT,0.000237886725040064
WT,9.38397148089482e-05
WT,0.000192018251689282
WT,0.000237885876724251
WT,0.00018326744943226
WT,0.000158806280124253
WT,0.000130642637769172
WT,0.000224065617792041
WT,0.000237886731701944
WT,0.000171462992139185
WT,0.000127001650377743
WT,0.000183963737596876
WT,2.64852273119924e-06
WT,1.69634131168614e-05
WT,1.98857053408616e-05
WT,3.50900953685375e-10
WT,3.97619915945816e-11
WT,4.02162923652327e-05
WT,6.57289260847958e-05
WT,0.000106402310875235
WT,2.47457810552126e-05
WT,8.23215265614304e-05
WT,9.56678850814203e-05
WT,0.000112448192205312
WT,4.7055310684032e-05
WT,1.96053200862111e-05
WT,1.40452606910059e-05
WT,0.000184037973282501
WT,0.000180971421911188
WT,7.89066174578262e-11
WT,3.11625985988246e-10
WT,1.3050975432677e-09
WT,2.83922514297537e-11
WT,1.23830706573486e-11
WT,1.21013068002168e-10
WT,5.76564880926953e-05
WT,8.1660382851117e-05
WT,7.53000159884117e-05
WT,0.000139553780009143
WT,0.000114753373622868
WT,0.000185639336121869
WT,5.61772903704248e-05
WT,2.33890709041929e-05
WT,2.35266893608602e-05
WT,1.82132405503244e-10
WT,1.83025967183202e-10
WT,9.51003535250843e-06
WT,5.69253784713343e-11
WT,6.43467391421124e-05
WT,6.10375269509546e-05
WT,0.000211733546400695
WT,0.000192743353426759
WT,0.000131019860097133
WT,3.18704962351459e-05
WT,0.000109517988363653
WT,0.000147191518529136
WT,0.00015135985764635
WT,0.000207920844001409
WT,0.00013652821148502
WT,0.000237850117505842
WT,0.000180361400355627
WT,0.000184777345131877
WT,0.00022640156606304
WT,0.000233958370789692
WT,0.000202858257177386
WT,0.00019218051181041
WT,0.000237886437587589
WT,0.000237886968635413
WT,0.00023332690434533
WT,0.000210870514390108
WT,0.000222852303223691
WT,7.31125748187524e-05
WT,4.15432317515293e-10
WT,2.5652561908632e-10
WT,3.74049011542415e-05
WT,0.000147075004157428
WT,0.000108155505601106
WT,0.000144628260950284
WT,1.8428746930821e-06
WT,9.94910847228462e-05
WT,0.000237886254419852
WT,0.000237886413583569
WT,0.000173504031013212
WT,0.000204989299503107
WT,6.72679603976408e-05
WT,0.000119227510876596
WT,0.00013272531891282
WT,0.00014686941666544
WT,0.000179344966860676
WT,0.000237884616252251
WT,4.42086161537357e-06
WT,9.09563650502505e-05
WT,0.00015450365249378
WT,0.00017217022852045
WT,4.23283900447153e-05
WT,0.000157907332066021
WT,0.000174850823291827
WT,0.000211332211827073
WT,0.000164113810212996
WT,6.48748648719649e-05
WT,9.40984962387394e-05
WT,5.31637273562977e-05
WT,5.26346101346762e-11
WT,1.04129203792131e-09
WT,2.97486432659041e-05
WT,6.10777514553374e-05
WT,8.80765639631272e-05
WT,2.00257898771679e-09
WT,1.47202192009726e-11
WT,2.56291928324539e-12
WT,4.37700875248326e-10
WT,3.83901963883323e-05
WT,1.9371067810035e-05
WT,2.46264371665499e-05
WT,1.83553157525192e-09
WT,1.03695606975359e-10
WT,2.83996164134363e-10
WT,1.68137935213038e-09
WT,1.17836130791896e-10
WT,1.17468446796729e-05
WT,4.51730749927001e-05
WT,5.7065282301331e-05
WT,7.84277702244958e-05
WT,0.000163185103727687
WT,6.4684398890817e-05
WT,8.45162299966957e-05
WT,0.000100520743682146
WT,7.96483119747671e-05
WT,0.000116504471102828
WT,0.000237885277144621
WT,5.84129638072804e-05
WT,0.000141306720590536
WT,0.000100455653496521
WT,6.73450746557834e-10
WT,0.000141053619328654
WT,7.89338180557062e-05
WT,3.02333637356752e-10
WT,9.65787907055759e-05
WT,0.0001277425827228
WT,3.6013114453412e-05
WT,5.48454420447942e-11
WT,2.40254147664199e-05
WT,6.47576131327382e-05
WT,7.17532012828862e-06
WT,0.000237885815958328
WT,0.000231330053025442
WT,0.000104961411706429
WT,4.665159037408e-06
WT,0.000101504506771561
WT,0.000102154384880898
WT,0.000118376938556079
WT,0.00011801158659463
WT,0.000172386175410126
WT,0.000138258228245097
WT,8.32141557634561e-05
WT,0.000166132064230351
WT,0.000163671181596566
WT,0.000130551825525067
WT,0.000198010320600626
WT,0.000204608049783339
WT,0.000118998116380891
WT,0.00013637915970913
WT,4.05143227452193e-05
WT,0.000114832410085096
WT,4.32077564018858e-05
WT,0.000150523302148223
WT,0.000237886945958392
WT,0.000237883407777266
WT,0.000205461458974781
WT,0.000129447226874364
WT,1.2419290156157e-05
WT,5.12597751563509e-05
WT,0.000136652450027973
WT,7.70094866977552e-05
WT,0.000186224398463673
WT,0.000148388998225623
WT,0.000161883846867735
WT,0.000237885016484346
WT,0.00023788660576007
WT,0.000202889706804446
WT,0.000153873170431005
WT,0.000126102209576945
WT,6.35770371550657e-11
WT,1.26017115373821e-10
WT,2.80512226510762e-10
WT,0.00014469865248107
WT,0.00012530792475333
WT,7.83325178402678e-10
WT,7.91612338856247e-06
WT,1.99320304512731e-11
WT,7.30869980055407e-10
WT,1.6940599267769e-09
WT,9.33583941559886e-06
WT,0.000117992973669156
WT,0.000152141586895375
WT,9.72211163041661e-05
WT,5.84446767251841e-11
WT,0.000100863011247176
WT,2.34651587299124e-09
WT,5.74608304862625e-10
WT,4.51341039838144e-07
WT,4.86623025261028e-11
WT,1.56606766350369e-10
WT,6.66908468888563e-10
WT,7.3643398261167e-05
WT,0.000158914868017226
WT,0.000130989682771377
WT,0.000103446421881437
WT,0.000127408038349085
WT,0.000164723853499824
WT,0.00021695050369094
WT,0.000227005434594665
WT,0.000194756802653741
WT,0.00013787254696825
WT,0.000138534608978933
WT,0.000232796350858321
WT,1.2110443067711e-06
WT,0.000230248193687027
WT,0.000121912127911655
WT,0.000108693174253566
WT,0.000119148492505954
WT,7.51096682012278e-10
WT,1.0935810235436e-09
WT,4.28321707171688e-10
WT,4.02998891569683e-07
WT,0.000138439184376407
WT,6.98338660314572e-05
WT,0.000163380120517054
WT,0.000155518016246831
WT,2.60291205848473e-05
WT,4.46325121429969e-05
