Condition,Fluxes
WT,1.4934414580445e-07
WT,0.0176948579060635
WT,1.0794543952307e-07
WT,5.35856582269439e-06
WT,0.0177252365277769
WT,2.77573297172284e-05
WT,5.05087005164378e-08
WT,0.0177285857451653
WT,2.51235107601852e-05
WT,8.28810713263794e-08
WT,0.0176354402009603
WT,5.90836054902638e-06
WT,9.24237504121761e-07
WT,0.0176881392641326
WT,4.58914769811773e-05
WT,1.20600449436391e-06
WT,0.0177502344771838
WT,4.03994153803744e-05
WT,1.44427041672031e-08
WT,0.0177733570739298
WT,3.47053204485977e-05
WT,5.84769132119113e-08
WT,0.0177404576892251
WT,6.34852717655383e-08
WT,1.81241333974218e-07
WT,0.0177694740104709
WT,8.30321048121067e-06
WT,1.11420009138891e-08
WT,0.0177379572204948
WT,1.20935852251829e-08
WT,5.12042268444645e-08
WT,0.0177349411705542
WT,5.55692079028025e-08
WT,5.90266446926581e-06
WT,0.0177492383691357
WT,2.0114714395432e-05
WT,2.01644800974074e-08
WT,0.0177168514345926
WT,2.18785744760945e-08
WT,2.64250436241559e-05
WT,0.0176855688543511
WT,3.27594947551092e-05
WT,1.53012140027692e-05
WT,0.0176959030018818
WT,2.46875920020883e-05
WT,7.6725319089908e-09
WT,0.0176605461652292
WT,1.10884008610449e-05
WT,1.11829405493038e-07
WT,0.0176600902447077
WT,1.5440555505274e-05
WT,6.37823591976076e-06
WT,0.0176862718138126
WT,3.72809892540504e-05
WT,4.07948587730481e-08
WT,0.0176581998111498
WT,1.53925172687515e-05
WT,8.99268284987959e-08
WT,0.0176203916985995
WT,8.2230606419376e-06
WT,9.02685007678052e-08
WT,0.0176120120718031
WT,1.10678234702297e-05
WT,5.40213760308849e-10
WT,0.0175816750572381
WT,2.05861691297941e-05
WT,1.78165357873043e-08
WT,0.0175978328427206
WT,2.23011757255704e-05
WT,1.05138369749382e-07
WT,0.0176072613919595
WT,2.23727784864429e-05
WT,6.6129224194375e-08
WT,0.0176157810673625
WT,2.88805923691731e-05
WT,2.78463886709739e-05
WT,0.0176510573231849
WT,6.47670727531926e-05
WT,1.28053783353492e-05
WT,0.017658579404237
WT,7.48868654288629e-05
WT,2.65145181968232e-06
WT,0.0176568307814818
WT,5.95672083996194e-05
WT,1.17409438623054e-07
WT,0.01761904529777
WT,4.94288955912784e-05
WT,1.22190056757061e-08
WT,0.0175973114089006
WT,3.28667776574569e-05
WT,4.55048421117857e-08
WT,0.0176710933306891
WT,9.4732946749865e-05
WT,6.15773939744868e-08
WT,0.0177222000810829
WT,0.000149724144509099
WT,1.18675128128848e-08
WT,0.0176786572354789
WT,0.000123079217017681
WT,1.01741613567653e-07
WT,0.0176454487251025
WT,8.42851365333617e-05
WT,1.05450532001611e-06
WT,0.0176467281290061
WT,7.15077458622039e-05
WT,8.82121803508481e-08
WT,0.0176265993986226
WT,5.48759158396763e-05
WT,1.35235442382862e-07
WT,0.017651285543799
WT,2.02477832626815e-05
WT,2.51875731529672e-05
WT,0.0176865922569277
WT,4.90592962000483e-05
WT,8.18898693880727e-08
WT,0.0175813635103712
WT,8.85779232631715e-08
WT,1.23202680264138e-07
WT,0.017605774674229
WT,1.39513952841781e-05
WT,5.7324785048892e-06
WT,0.0176452751622941
WT,1.04769499363264e-05
WT,5.94339553457027e-08
WT,0.0176362861476772
WT,6.2051781738774e-06
WT,6.12586477379161e-05
WT,0.0177227569314275
WT,7.06278127148778e-05
WT,2.79555403759944e-07
WT,0.0176713915947949
WT,3.02218459425877e-07
WT,1.37137479719582e-05
WT,0.0176681996836974
WT,1.63962692066565e-05
WT,8.90587298642593e-06
WT,0.0176683586454643
WT,1.00974305184745e-05
WT,1.03275902171117e-07
WT,0.0176846467024782
WT,2.39270855439185e-06
WT,7.05589492520611e-07
WT,0.0176629566422085
WT,9.35601855894245e-06
WT,2.88248649108939e-07
WT,0.0176033917246
WT,3.66567032267172e-06
WT,9.11160687058654e-09
WT,0.0176134020141906
WT,1.66515711699803e-05
WT,1.19360194966905e-07
WT,0.0177725717152956
WT,7.95174469617597e-05
WT,6.69207547453261e-06
WT,0.0179465599460759
WT,0.000175394607504288
WT,1.31322575477514e-07
WT,0.0180129399634641
WT,0.000210181388757797
WT,2.5718826397743e-06
WT,0.0180798220609298
WT,0.000240122186164794
WT,6.26469273915502e-06
WT,0.0180712529266118
WT,0.000218191939186754
WT,2.16616440240775e-05
WT,0.0180995967991625
WT,0.000220115858548685
WT,6.86576711156077e-09
WT,0.0181157244153423
WT,0.00022882192681433
WT,2.90923855299254e-05
WT,0.0181696877052299
WT,0.000240831203203235
WT,7.83890895098095e-05
WT,0.0182253827558609
WT,0.000216254779048671
WT,5.1395156920963e-05
WT,0.0181820777430472
WT,0.0001505881744812
