sample;group;DAG 34:3;DAG 36:5;DAG 36:6;DGDG 34:3;DGDG 34:4;DGDG 34:5;DGDG 34:6;DGDG 36:3;DGDG 36:4;DGDG 36:5;DGDG 36:6;DGDG 38:4;DGDG 38:5;DGDG 38:6;LPC 16:0;LPC 18:1;LPC 18:2;LPC 18:3;MGDG 38:4;MGDG 38:6;MGDG 34:3;MGDG 34:4;MGDG 34:5;MGDG 34:6;MGDG 36:3;MGDG 36:4;MGDG 36:5;MGDG 36:6;MGMG 16:3;MGMG 18:3;PA 34:2;PA 34:3;PA 34:4;PA 36:4;PA 36:5;PA 36:6;PC 32:1;PC 32:3;PC 34:1;PC 34:2;PC 34:3;PC 34:4;PC 34:6;PC 36:2;PC 36:3;PC 36:4;PC 36:5;PC 36:6;PC 38:2;PC 38:3;PC 38:4;PC 38:5;PC 38:6;PC 40:2;PC 40:3;PC 40:4;PC 40:5;PE 42:3;PE 32:0;PE 32:1;PE 34:2;PE 34:3;PE 34:4;PE 36:2;PE 36:3;PE 36:4;PE 36:5;PE 36:6;PE 38:2;PE 38:3;PE 38:4;PE 38:5;PE 40:2;PE 40:3;PE 42:2;PG 32:0;PG 32:1;PG 34:1;PG 34:2;PG 34:3;PG 34:4;PG 36:2;PG 36:3;PG 36:4;PG 36:5;PG 36:6;PI 34:3;PI 34:2;PS 34:3;PS 42:2;PS 42:3;SQDG 32:0;SQDG 34:3;SQDG 36:6;TAG 54:7;TAG 52:5;TAG 52:9;TAG 54:8;TAG 54:9
Col-0_9;Col-0;0.36;0.186;0.17;892.187;55.005;97.933;466.774;48.512;96.915;172.275;4562.899;5.208;9.407;38.542;0.338;0.121;0.657;0.618;14.525;20.626;475.5;1297.179;1949.334;40050.96;38.878;248.064;915.246;9800.388;32.894;14.357;1.542;1.592;0.574;1.066;1.4;0.624;2.991;2.899;13.345;150.491;175.33;8.792;3.534;15.089;38.493;134.718;215.717;113.195;2.086;2.834;3.513;2.853;1.359;0.435;0.65;0.869;0.558;5.485;0.842;1.369;142.068;108.317;2.394;8.099;16.311;76.775;85.712;28.851;1.454;1.505;2.025;2.105;3.56;1.615;5.455;16.526;32.097;97.414;160.957;260.457;758.182;2.04;2.653;5.369;5.283;5.135;101.3995;103.485;4.025;7.27;8.987;2.764;78.058;17.416;0.403;0.18;0.065;0.578;0.549
Col-0_10;Col-0;0.324;0.205;0.19;935.71;51.346;92.999;467.263;49.521;96.201;168.608;4762.987;6.111;10.445;42.179;0.308;0.109;0.627;0.717;14.931;25.492;458.304;1112.433;1720.673;40711.035;34.551;256.342;1057.263;10749.15;36.77;16.95;1.007;1.039;0.579;0.442;0.603;0.365;3.085;3.471;12.099;154.932;198.76;8.711;4.356;15.663;36.399;122.864;218.416;126.927;2.523;3.434;3.516;2.63;1.342;0.444;0.594;0.797;0.563;5.3635;0.904;1.324;130.529;110.38;2.218;7.714;14.316;68.973;85.499;31.015;1.479;1.584;1.595;2.066;3.324;1.616;5.36;20.627;37.725;82.106;147.886;246.57;746.808;1.852;2.216;4.572;4.739;5.25;106.998;97.076;4.086;7.442;9.36;3.44;73.504;17.51;0.604;0.196;0.085;0.899;0.815
Col-0_11;Col-0;0.23;0.18;0.155;792.785;48.059;86.017;440.128;38.368;87.973;143.905;4216.868;4.285;8.588;34.72;0.301;0.087;0.647;0.577;14.732;22.602;454.742;1158.347;1727.453;36370.21;34.544;274.14;990.22;9966.094;30.089;19.435;1.093;0.978;0.474;0.563;0.7;0.306;2.642;3.17;14.738;152.434;166.496;8.763;4.121;14.397;39.524;146.779;217.912;113.318;1.934;2.585;3.206;2.329;1.04;0.347;0.672;0.936;0.568;5.264;0.511;1.038;143.019;103.269;2.252;7.314;15.88;75.273;85.234;28.716;1.456;1.436;1.762;1.852;3.667;1.664;5.757;26.312;30.724;109.982;168.802;298.228;682.312;2.218;2.686;4.817;4.644;6.232;88.8325;97.136;3.88;6.698;9.056;3.169;72.714;16.07;0.624;0.175;0.077;0.89;0.718
Col-0_12;Col-0;0.312;0.179;0.164;855.548;49.322;85.219;435.829;46.757;89.068;156.976;4688.376;5.008;8.045;37.901;0.278;0.09;0.577;0.556;14.615;24.174;462.808;1160.154;1819.245;38459.948;38.424;250.758;978.322;10968.085;36.853;17.022;1.88;1.677;0.733;1.121;1.298;0.643;2.537;2.561;13.259;141.286;169.303;8.229;3.295;14.705;37.813;129.718;209.375;115.138;1.48;2.401;3.21;2.592;1.274;0.347;0.477;0.623;0.441;5.5935;0.578;1.088;136.568;104.411;2.245;8.226;15.288;71.348;83.084;28.815;1.32;1.368;1.809;1.998;3.632;1.633;5.691;18.474;33.643;96.56;156.702;249.347;745.48;2.666;2.575;9.71;5.479;5.702;97.104;98.51;4.243;7.965;9.369;2.536;71.919;17.369;0.465;0.182;0.077;0.673;0.643
Col-0_13;Col-0;0.261;0.215;0.199;903.236;57.807;95.338;500.965;42.162;99.344;148.118;4520.212;3.449;7.312;35.598;0.381;0.118;0.821;0.792;12.891;19.06;519.775;1405.846;2106.71;40259.887;35.858;266.227;845.135;9521.838;31.677;24.029;0.86;0.957;0.534;0.575;0.681;0.376;3.635;3.525;19.076;169.954;183.14;10.262;5;15.612;46.704;165.126;244.394;133.306;2.195;2.77;3.446;2.715;1.315;0.482;0.772;1.069;0.716;4.812;0.778;1.545;147.02;111.481;2.57;7.558;19.181;85.613;95.907;32.55;1.389;1.424;1.971;1.978;3.193;1.374;4.396;20.766;43.71;102.193;167.795;264.793;794.334;1.819;2.332;4.624;5.289;5.335;108.4465;117.726;3.825;5.809;7.761;4.084;94.841;21.404;0.771;0.233;0.117;1.161;0.828
Col-0_14;Col-0;0.345;0.158;0.146;768.029;47.222;69.7;418.927;40.923;84.278;157.25;4290.798;3.852;7.689;32.478;0.592;0.211;1.053;0.994;13.651;20.379;510.42;1470.346;1713.143;35261.529;32.791;288.786;997.765;10119.099;27.649;16.067;0.654;1.035;0.798;0.415;0.892;0.533;2.833;3.112;14.651;145.373;173.702;8.958;3.825;14.464;39.012;131.178;207.751;115.766;2.037;2.745;3.231;2.449;1.182;0.432;0.565;0.736;0.481;5.4635;0.657;1.109;128.853;101.885;2.296;6.769;15.087;72.243;82.594;28.927;1.448;1.448;1.711;1.83;3.463;1.667;6.272;22.561;38.409;126.481;180.866;252.992;724.335;2.154;2.504;5.607;5.057;5.623;102.3405;105.795;3.292;7.353;9.588;2.753;68.551;15.422;0.402;0.135;0.071;0.679;0.557
Col-0_15;Col-0;0.212;0.145;0.156;869.709;49.307;78.391;406.135;44.231;93.454;152.98;4550.624;4.395;9.795;37.415;0.248;0.086;0.499;0.565;13.203;20.798;503.378;1214.828;1736.725;37503.861;36.017;252.373;933.315;10526.581;28.096;9.729;2.493;1.876;0.821;1.341;1.673;0.588;2.871;2.563;14.426;137.511;169.661;7.357;2.888;12.719;35.253;118.642;193.715;108.876;1.781;2.408;2.851;2.367;1.204;0.416;0.632;0.835;0.584;5.081;0.879;1.363;122.269;100.634;2.064;6.57;14.83;68.991;81.675;28.938;1.223;1.305;1.622;1.805;2.795;1.329;4.624;15.348;33.155;94.322;153.096;253.467;735.7;1.623;1.85;4.121;4.607;4.894;117.2465;101.707;3.84;7.56;9.06;3.08;80.538;19.28;0.285;0.136;0.042;0.405;0.441
Col-0_16;Col-0;0.648;0.336;0.337;1361.623;89.993;153.246;767.357;66.356;160.617;272.533;7094.985;7.698;13.518;57.874;0.584;0.198;1.13;1.229;21.457;37.802;799.853;2018.555;3200.005;62177.641;53.77;381.303;1423.162;15071.526;49.243;38.858;3.936;4.04;0.862;2.69;3.517;1.468;5.586;5.793;23.927;237.338;289.302;15.185;8.626;22.006;61.127;208.309;345.613;206.288;3.234;4.332;5.323;4.307;2.162;0.86;1.175;1.589;1.163;7.4915;1.127;2.099;194.423;162.783;3.734;10.778;24.319;104.627;129.804;48.644;1.917;2.067;2.849;2.893;4.697;2.144;6.645;34.012;69.002;141.053;237.998;407.045;1152.415;2.663;3.851;8.297;7.816;8.831;177.319;164.869;5.942;9.883;12.956;7.963;156.088;35.385;1.081;0.34;0.193;1.763;1.45
Col-0_17;Col-0;0.353;0.202;0.2;744.173;53.835;83.397;469.837;39.877;98.996;167.747;4607.498;3.86;8.741;29.948;0.51;0.197;0.871;0.919;13.26;20.839;497.24;1341.036;1738.54;38077.933;38.937;281.847;1109.91;10446.576;41.387;14.355;2.187;1.713;0.461;1.249;1.538;0.743;3.198;3.614;13.245;148.961;203.936;10.873;5.528;13.84;40.392;136.222;243.188;151.162;2.025;2.732;3.304;2.88;1.46;0.458;0.64;0.787;0.601;5.2;0.637;1.406;137.76;122.095;2.981;6.927;17.339;77.314;96.925;36.695;1.264;1.486;1.96;2.054;3.372;1.65;5.386;26.061;46.926;131.246;193.313;299.064;821.67;3.189;3.311;5.74;5.951;8.061;120.9995;108.312;4.309;7.865;10.636;3.205;75.04;17.654;0.598;0.191;0.089;0.885;0.729
Col-0_18;Col-0;0.327;0.211;0.172;743.69;44.318;81.026;388.334;39.981;81.173;135.14;3785.405;4.245;9.015;31.402;0.271;0.123;0.601;0.59;13.9;28.792;432.188;1186.48;1886.349;33582.27;35.174;288.137;859.716;9442.263;27.368;15.54;2.952;2.302;0.768;1.558;1.915;0.66;2.629;2.631;22.431;148.626;147.023;7.996;3.256;16.181;50.963;156.556;201.918;101.299;2.118;2.777;3.358;2.34;1.071;0.506;0.914;1.083;0.637;4.732;0.951;1.341;142.653;97.256;2.312;7.501;19.278;78.197;83.644;27.825;1.607;1.698;2.004;1.791;3.752;1.539;4.407;15.4;24.28;111.506;169.822;285.135;636.607;2.145;2.911;5.256;5.026;5.445;96.3325;102.739;4.285;5.075;7.121;2.417;67.526;15.042;1.008;0.213;0.107;1.455;1.169
