sample;group;DAG 34:3;DAG 36:5;DAG 36:6;DGDG 34:3;DGDG 34:4;DGDG 34:5;DGDG 34:6;DGDG 36:3;DGDG 36:4;DGDG 36:5;DGDG 36:6;DGDG 38:4;DGDG 38:5;DGDG 38:6;LPC 16:0;LPC 18:1;LPC 18:2;LPC 18:3;MGDG 38:4;MGDG 38:6;MGDG 34:3;MGDG 34:4;MGDG 34:5;MGDG 34:6;MGDG 36:3;MGDG 36:4;MGDG 36:5;MGDG 36:6;MGMG 16:3;MGMG 18:3;PA 34:2;PA 34:3;PA 34:4;PA 36:4;PA 36:5;PA 36:6;PC 32:1;PC 32:3;PC 34:1;PC 34:2;PC 34:3;PC 34:4;PC 34:6;PC 36:2;PC 36:3;PC 36:4;PC 36:5;PC 36:6;PC 38:2;PC 38:3;PC 38:4;PC 38:5;PC 38:6;PC 40:2;PC 40:3;PC 40:4;PC 40:5;PE 42:3;PE 32:0;PE 32:1;PE 34:2;PE 34:3;PE 34:4;PE 36:2;PE 36:3;PE 36:4;PE 36:5;PE 36:6;PE 38:2;PE 38:3;PE 38:4;PE 38:5;PE 40:2;PE 40:3;PE 42:2;PG 32:0;PG 32:1;PG 34:1;PG 34:2;PG 34:3;PG 34:4;PG 36:2;PG 36:3;PG 36:4;PG 36:5;PG 36:6;PI 34:3;PI 34:2;PS 34:3;PS 42:2;PS 42:3;SQDG 32:0;SQDG 34:3;SQDG 36:6;TAG 54:7;TAG 52:5;TAG 52:9;TAG 54:8;TAG 54:9
Col-0_19;Col-0;0.378;0.202;0.19;882.158;55.084;92.485;454.848;43.181;97.686;148.756;4478.58;4.407;8.127;37.978;0.384;0.122;0.742;0.794;14.393;27.708;530.541;1364.481;2029.258;39364.92;35.945;263.193;879.118;10108.328;33.658;21.935;1.396;1.529;0.598;0.846;1.161;0.554;3.322;3.061;15.554;152.915;173.992;8.889;4.088;14.581;39.036;136.035;213.05;118.043;2.049;2.686;3.168;2.388;1.194;0.523;0.717;0.95;0.63;4.6385;0.649;1.218;124.696;97.873;2.235;6.791;15.324;69.347;82.365;28.853;1.231;1.281;1.677;1.723;3.139;1.332;4.252;20.249;40.11;92.528;158.304;249.005;737.424;1.812;2.629;5.083;5.122;5.256;107.401;103.3;3.363;5.538;7.519;3.849;86.66;19.646;0.591;0.238;0.111;0.879;0.68
Col-0_20;Col-0;0.273;0.174;0.176;838.279;51.865;86.095;498.265;42.938;101.334;166.252;4758.493;4.614;8.361;39.672;0.605;0.213;1.03;0.998;13.024;23.895;514.144;1394.006;1779.485;38606.911;38.572;304.048;1033.259;10465.387;37.424;18.373;2.315;2.16;0.572;1.373;1.869;0.789;3.023;3.33;15.555;153.256;187.355;9.473;4.285;14.266;43.757;147.347;231.515;129.978;1.873;2.656;3.274;2.672;1.306;0.437;0.572;0.681;0.483;5.374;0.59;1.197;124.517;104.651;2.581;6.477;15.519;74.314;86.422;32.297;1.229;1.46;1.728;1.811;3.52;1.792;6.14;25.783;41.301;135.109;179.892;284.595;740.001;3.054;2.705;5.301;5.964;6.227;111.19;107.029;3.576;7.936;10.086;3.087;75.423;15.811;0.616;0.293;0.084;0.817;0.653
Col-0_21;Col-0;0.221;0.161;0.146;692.159;39.966;66.253;346.027;34.036;78.301;122.291;3716.486;4.155;8.393;31.347;0.191;0.073;0.442;0.48;11.996;17.493;402.988;1018.547;1527.171;31725.777;30.484;219.966;730.197;8858.621;25.629;9.646;1.299;1.137;0.607;0.744;1.112;0.375;2.242;2.208;13.841;120.534;141.062;6.801;2.678;11.362;33.941;113.708;173.504;93.504;1.646;2.155;2.592;2.113;1.036;0.343;0.525;0.7;0.446;4.5725;0.641;1.1;117.328;90.351;1.939;6.039;14.091;63.622;72.272;24.83;1.217;1.3;1.595;1.624;2.823;1.231;4.415;13.135;26.23;90.738;140.665;228.353;629.497;1.575;2.184;4.001;4.428;4.801;95.719;89.128;3.699;6.418;8.009;2.07;58.874;14.945;0.441;0.133;0.04;0.626;0.624
Col-0_22;Col-0;0.381;0.258;0.227;1075.056;71.622;119.231;576.94;49.606;115.568;180.602;5025.981;4.903;9.454;40.79;0.463;0.171;0.939;0.942;16.005;27.203;659.923;1830.715;2699.045;48334.008;42.838;330.855;1056.344;11392.793;42.844;38.032;2.087;1.672;0.601;1.258;1.445;0.619;4.305;4.096;22.367;195.184;205.749;12.254;6.377;18.518;53.106;192.304;282.859;153.577;3.103;3.645;4.155;2.895;1.402;0.721;1.146;1.636;0.996;5.215;0.811;1.635;165.919;121.224;2.928;9.058;21.375;92.076;107.545;37.493;1.755;1.794;2.145;2.149;3.902;1.633;4.65;25.645;47.405;128.821;202.26;327.06;859.002;2.142;3.031;5.665;5.759;6.571;128.682;128.457;4.555;6.506;8.401;5.326;117.462;25.313;1.123;0.274;0.137;1.594;1.106
Col-0_23;Col-0;0.225;0.165;0.16;894.013;57.96;87.506;491.254;46.359;99.068;151.367;4849.64;4.422;7.833;37.914;0.317;0.104;0.712;0.737;13.592;24.918;521.78;1527.413;1795.919;40872.154;39.385;312.835;1036.455;10676.753;35.762;14.149;0.839;1.126;0.491;0.23;0.774;0.331;3.123;3.324;13.771;150.764;187.002;9.341;4.367;14.329;39.759;139.031;227.567;128.411;2.012;2.763;3.114;2.521;1.207;0.383;0.54;0.786;0.549;5.6815;0.72;1.223;127.405;107.025;2.334;6.878;15.313;73.559;88.52;31.975;1.439;1.471;1.801;1.835;3.477;1.832;6.001;26.557;35.955;131.082;182.131;301.142;776.635;2.117;2.209;5.353;5.172;7.003;109.6565;110.004;3.722;7.915;9.931;3.759;85.914;18.113;0.507;0.201;0.081;0.795;0.717
Col-0_24;Col-0;0.287;0.221;0.177;834.916;49.248;91.873;416.519;44.974;86.188;137.661;4188.546;4.409;9.347;31.642;0.253;0.088;0.606;0.562;12.513;20.618;462.452;1285.043;2074.056;37044.158;37.396;248.353;841.148;10025.733;30.976;10.484;1.2;1.053;0.721;0.36;0.537;0.243;2.692;2.607;17.123;153.131;159.965;8.406;3.227;15.921;41.816;145.319;210.689;108.943;1.715;2.433;3.246;2.504;1.094;0.352;0.684;0.909;0.569;4.9655;0.829;1.3;153.325;109.545;2.304;8.633;18.045;77.86;89.067;30.074;1.463;1.619;2.049;1.996;3.897;1.686;4.704;16.868;26.335;109.375;169.623;297.445;696.172;2.363;3.149;4.918;5.01;5.848;99.092;104.742;4.571;5.818;8.074;2.055;66.541;15.467;0.643;0.184;0.048;0.909;0.728
Col-0_25;Col-0;0.329;0.242;0.252;1068.143;66.605;109.075;608.07;43.392;109.791;141.709;5114.098;4.541;7.068;35.039;0.446;0.146;0.854;0.9;13.955;26.215;541.05;1374.494;2236.736;48767.44;44.09;311.279;1069.144;10962.129;41.734;37.739;1.456;1.587;0.76;0.687;1.002;0.543;4.266;4.5;22.436;189.866;230.432;12.511;7.401;15.236;51.002;182.656;294.561;178.364;2.881;3.167;3.356;2.477;1.312;0.699;1.211;1.858;1.216;5;0.839;1.67;154.411;127.716;3.008;6.665;21.474;91.066;109.064;40.036;1.322;1.526;1.635;1.781;3.387;1.406;3.655;29.551;55.78;107.844;190.718;340.864;927.263;1.233;2.421;5.791;6.143;7.269;143.4745;139.978;4.513;5.342;7.817;6.992;138.947;30.075;1.358;0.466;0.191;2.096;1.619
Col-0_26;Col-0;0.209;0.195;0.203;825.11;58.284;97.22;514.573;34.727;98.646;142.367;4109.68;3.5;8.339;28.544;0.409;0.159;0.939;0.971;7.166;7.152;488.117;1368.317;1846.073;37535.884;26.423;244.245;777.185;7959.634;43.901;2.262;2.525;2.016;1.051;1.441;1.679;0.687;3.538;3.901;19.503;154.635;169.173;10.737;6.093;15.038;50.185;164.429;235.95;132.327;2.33;2.94;3.533;2.647;1.256;0.671;1.075;1.408;0.945;5.407;0.649;1.498;141.596;108.716;3.06;6.705;20.147;82.529;93.445;33.127;1.269;1.44;1.996;1.997;3.335;1.536;5.126;24.186;46.246;108.918;169.371;266.205;732.51;1.721;2.713;5.222;5.631;5.905;125.641;113.608;3.807;7.202;9.049;6.026;111.633;21.912;0.655;0.112;0.058;1.031;0.76
Col-0_27;Col-0;0.36;0.163;0.186;918.506;57.155;90.203;479.675;40.317;99.28;136.459;4400.979;3.234;8.28;30.133;0.28;0.096;0.676;0.798;7.389;7.407;528.84;1402.865;2094.154;40534.172;26.116;228.711;790.195;8913.43;29.128;0;1.932;2.205;0.733;0.91;1.446;0.66;3.581;3.157;17.898;153.348;193.018;9.072;4.102;13.248;40.871;135.031;222.146;134.759;2.112;2.535;3.053;2.443;1.31;0.488;0.752;1.069;0.771;4.4395;0.652;1.668;126.724;113.112;2.517;6.094;17.514;73.086;92.317;36.256;1.047;1.268;1.565;1.877;2.691;1.312;3.546;21.433;40.146;97.325;158.305;269.604;729.196;1.202;1.975;4.424;4.888;5.226;132.8065;108.436;4.259;5.546;7.79;5.122;109.885;25.804;0.348;0.199;0.035;0.598;0.581
Col-0_28;Col-0;0.369;0.227;0.28;1051.608;61.84;111.562;631.793;43.594;117.645;162.57;5551.853;4.129;7.033;36.036;0.4;0.086;0.714;1.021;15.403;18.657;424.841;935.606;1698.348;49323.41;39.655;275.473;1195.313;11372.193;39.234;27.121;1.147;1.44;0.564;0.61;1.069;0.513;3.724;4.628;12.014;157.123;248.616;12.164;8.55;12.153;36.344;131.814;279.231;225.451;2.695;3.088;3.362;2.494;1.407;0.647;0.923;1.667;1.308;4.5335;0.579;1.611;145.061;149.412;3.003;6.627;18.609;79.168;110.593;48.227;1.218;1.368;1.692;1.659;3.083;1.447;3.248;38.043;69.1;67.722;150.735;324.829;938.232;1.401;2.203;4.212;5.61;7.999;162.1205;115.104;5.754;6.693;9.858;9.215;145.639;32.864;1.343;0.732;0.261;2.513;2.528
Col-0_29;Col-0;0.288;0.181;0.183;1018.316;62.981;111.052;595.523;43.028;108.583;156.919;4904.644;4.002;9.073;31.738;0.588;0.194;1.152;1.14;10.493;12.012;604.646;1511.279;2233.964;46469.778;36.121;291.239;971.198;10319.66;54.236;7.995;2.024;2.036;0.716;1.044;1.451;0.617;3.708;4.381;17.857;172.545;200.08;10.965;6.592;15.059;45.426;158.158;251.934;143.122;2.686;2.775;3.246;2.527;1.216;0.619;1.126;1.524;0.982;5.1705;0.74;1.501;150.03;121.105;2.917;7.073;18.224;84.487;101.023;36.723;1.387;1.505;1.898;1.952;3.702;1.757;4.943;32.367;53.869;106.077;169.068;278.696;822.203;1.835;2.627;5.107;5.397;5.993;125.18;112.531;4.268;7.19;9.088;7.269;123.202;22.772;0.654;0.145;0.072;1.031;0.84
Col-0_30;Col-0;0.263;0.169;0.214;935.058;54.534;93.447;515.664;37.499;106.715;130.919;4666.086;3.64;8.169;32.595;0.404;0.155;0.807;1.012;9.74;13.311;470.761;1169.412;1941.221;42223.334;27.47;236.471;798.038;9464.542;33.948;0.415;1.482;1.606;0.894;0.744;1.117;0.615;3.473;3.518;16.271;146.257;199.871;9.464;5.053;11.704;38.797;129.42;226.653;150.169;1.954;2.332;2.888;2.434;1.331;0.448;0.72;0.999;0.746;4.57;0.669;1.641;132.281;123.187;2.694;5.923;18.681;76.674;97.515;39.489;0.99;1.17;1.606;1.881;2.524;1.244;3.199;21.909;45.093;76.195;145.535;267.175;780.587;1.585;2.06;4.211;4.798;5.81;140.1585;104.272;5.061;5.88;8.365;5.993;122.307;28.193;0.457;0.231;0.06;0.796;0.761
Col-0_31;Col-0;0.335;0.252;0.261;1099.976;66.287;111.329;622.151;44.983;114.38;137.046;5334.999;4.645;7.079;35.022;0.565;0.217;1.127;1.087;16.499;23.489;556.45;1506.94;2347.9;49780.714;42.51;318.552;936.341;11187.196;44.618;32.726;1.414;1.539;0.944;0.608;0.85;0.491;4.028;3.859;26.992;190.216;209.749;11.906;5.759;16.632;58.487;195.859;287.087;163.08;2.895;3.469;3.934;2.755;1.401;0.72;1.165;1.658;1.05;4.8505;0.832;1.562;153.743;120.518;2.839;7.028;22.755;91.299;105.704;38.1;1.426;1.532;1.814;1.81;3.232;1.371;3.72;22.273;52.074;107.432;188.305;312.891;926.952;1.793;2.704;6.599;7.061;6.466;139.8535;133.63;4.298;5.336;7.77;6.269;143.261;31.886;1.167;0.437;0.159;1.767;1.238
Col-0_32;Col-0;0.255;0.215;0.196;909.764;60.705;99.493;547.154;35.414;109.007;154.085;4506.109;3.473;8.537;30.671;0.384;0.136;0.952;0.945;11.295;10.758;559.351;1572.365;2143.909;42549.8;34.891;315.821;1012.24;9852.697;44.267;6.849;2.389;1.897;1.109;1.336;1.481;0.553;3.601;4.009;18.42;172.275;180.613;11.244;6.089;14.726;46.617;172.284;249.205;129.87;2.55;3.134;3.686;2.656;1.205;0.666;1.132;1.524;0.987;4.6765;0.67;1.498;158.17;113.588;3.067;7.146;20.284;87.333;97.096;33.332;1.361;1.524;2.097;1.951;3.121;1.373;4.339;27.339;51.246;113.909;177.203;269.821;777.502;2.116;3.087;5.678;5.886;6.03;114.364;108.479;4.577;6.813;8.556;6.294;114.526;21.8;0.755;0.141;0.066;1.092;0.777
Col-0_33;Col-0;0.347;0.162;0.188;862.076;52.656;87.554;498.328;34.485;96.251;115.779;4262.308;3.22;7.04;27.431;0.283;0.145;0.789;0.861;7.444;7.31;490.245;1291.996;2030.634;39694.388;28.354;224.365;692.706;8065.64;25.044;0;4.083;3.842;1.163;2.743;3.486;1.434;3.364;3.016;21.531;147.392;173.184;9.226;4.103;13.203;48.719;155.846;230.281;131.98;2.005;2.417;2.963;2.292;1.214;0.501;0.904;1.172;0.802;4.193;0.565;1.53;130.368;107.47;2.626;5.755;20.919;81.749;94.573;34.796;0.992;1.194;1.659;1.749;2.398;1.178;3.075;18.957;40.815;95.836;155.486;253.24;730.044;1.055;2.079;4.375;4.981;5.46;131.7835;109.295;4.366;5.082;7.113;5.038;115.982;26.782;0.5;0.175;0.045;0.815;0.65
Col-0_34;Col-0;0.285;0.224;0.238;1110.248;65.863;106.867;553.192;45.199;113.581;151.378;4993.36;4.369;6.705;33.668;0.406;0.165;0.774;0.825;15.157;20.542;623.268;1750.362;2503.882;48245.741;42.923;324.939;1014.919;11124.23;48.333;27.607;1.01;1.164;0.984;0.388;0.708;0.394;3.883;3.409;24.205;187.18;204.336;10.859;4.964;17.271;54.18;182.074;269.276;150.808;3.271;3.589;3.734;2.491;1.265;0.903;1.287;1.764;1.132;4.8265;0.766;1.525;151.331;118.628;2.722;7.453;21.694;87.764;104.487;37.465;1.437;1.657;1.832;1.838;3.409;1.407;3.918;23.928;48.667;113.729;192.837;296.055;852.546;1.599;3.083;5.895;6.483;6.293;128.463;126.927;4.224;5.49;7.856;5.771;123.9;28.284;0.983;0.335;0.122;1.443;1.063
Col-0_35;Col-0;0.272;0.2;0.197;1019.233;67.744;113.414;551.182;44.989;114.185;164.426;4881.874;4.149;9.285;33.532;0.392;0.137;0.891;0.939;11.484;16.862;686.849;1954.136;2587.73;46821.66;41.362;333.193;1099.876;10837.855;48.489;9.205;2.583;1.877;1.283;1.349;1.567;0.567;4.058;3.985;21.796;180.739;205.315;11.961;6.101;15.999;50.612;170.491;258.808;149.074;2.479;2.895;3.475;2.584;1.29;0.632;1.167;1.665;1.117;5.1715;0.665;1.614;162.71;128.216;3.182;7.745;20.986;87.049;105.175;38.811;1.428;1.544;2.003;2.088;3.556;1.589;4.887;35.792;55.233;134.809;194.626;306.279;824.099;2.217;2.993;5.545;6.227;6.368;129.656;118.595;5.069;7.795;9.861;7.679;123.803;24.452;0.586;0.119;0.066;0.89;0.725
Col-0_36;Col-0;0.36;0.181;0.255;909.556;54.863;97.083;565.467;35.382;99.572;125.018;4649.947;3.524;7.986;32.029;0.399;0.151;0.881;1.078;9.695;14.105;398.792;1010.815;1778.488;42402.743;27.756;218.947;779.5;8580.171;30.378;3.809;4.141;4.925;1.358;2.503;4.13;2.184;3.631;4.172;16.898;145.404;202.38;10.329;6.273;11.199;40.379;137.463;241.137;163.044;2.206;2.547;3.225;2.71;1.454;0.524;0.9;1.303;0.988;3.963;0.558;1.569;126.684;119.938;2.807;5.32;19.062;78.083;99.313;40.109;1;1.183;1.709;1.918;2.362;1.187;2.923;23.311;44.083;74.702;146.66;278.529;789.841;1.219;2.149;4.294;5.192;6.135;150.2965;113.971;4.925;5.467;7.816;5.578;120.955;27.285;0.736;0.257;0.105;1.288;1.146
Col-0_37;Col-0;0.29;0.2;0.235;946.851;58.018;93.082;527.047;39.51;111.04;133.936;4600.669;4.158;6.529;31.594;0.413;0.164;0.784;0.868;12.238;19.26;494.809;1279.319;2059.177;43571.405;38.064;287.197;903.451;9644.242;44.068;25.198;1.552;1.845;0.829;0.906;1.343;0.734;3.911;3.593;19.011;156.4;196.417;10.018;5.102;13.111;44.784;150.459;242.218;143.353;2.386;2.762;2.864;2.193;1.224;0.61;0.844;1.159;0.835;4.2145;0.747;1.509;125.549;109.404;2.533;5.778;19.18;77.895;92.887;35.015;1.236;1.352;1.345;1.617;2.737;1.25;3.272;24.592;49.428;83.866;151.697;254.337;743.721;1.28;2.388;4.603;5.618;5.327;123.196;112.618;3.61;4.427;6.266;7.01;123.875;27.172;0.917;0.319;0.15;1.547;1.234
Col-0_38;Col-0;0.198;0.16;0.159;728.41;45.635;76.715;397.889;29.725;81.941;119.179;3512.538;2.856;6.344;24.364;0.333;0.109;0.687;0.718;9.069;13.466;405.677;1100.781;1582.32;32342.529;26;225.551;808.281;7501.447;23.994;12.981;1.917;1.657;0.982;0.946;1.317;0.554;2.881;3.272;12.548;132.461;150.496;8.439;4.861;10.94;32.248;123.488;193.387;105.8;2.132;2.474;2.796;2.001;0.934;0.506;0.882;1.279;0.817;3.861;0.43;1.059;114.134;86.463;2.096;5.321;13.518;63.458;72.787;24.861;1.056;1.079;1.493;1.387;2.436;0.979;3.566;21.663;38.379;77.005;125.458;202.97;587.02;1.378;1.843;3.668;3.985;4.153;90.7745;83.94;3.543;6.032;7.468;4.951;85.2;16.704;0.622;0.156;0.067;0.822;0.59
Col-0_39;Col-0;0.264;0.21;0.208;887.971;56.466;100.296;588.796;32.007;103.163;118.868;4342.312;3.583;7.548;30.863;0.4;0.162;0.87;1.013;12.852;18.005;436.645;1211.25;1917.09;41638.322;27.355;231.492;718.497;8054.463;28.076;16.869;2.508;1.846;1.096;1.447;1.564;0.556;3.941;3.901;23.265;169.247;197.355;10.8;5.493;14.125;53.19;173.893;259.439;152.129;2.22;2.83;3.422;2.558;1.294;0.556;0.897;1.297;0.904;4.3975;0.8;1.688;154.589;124.602;2.935;6.512;24.154;92.123;104.499;38.482;1.266;1.435;1.908;1.889;2.724;1.165;3.416;21.786;45.038;89.558;159.731;275.564;789.25;1.403;2.357;4.799;5.127;5.832;146.0435;120.917;4.81;5.667;7.726;5.627;131.932;28.321;0.886;0.257;0.09;1.396;1.082
Col-0_40;Col-0;0.299;0.19;0.227;953.309;57.533;95.028;523.28;40.338;106.292;142.37;4639.294;4.068;6.323;31.602;0.412;0.137;0.692;0.782;14.324;20.224;495.111;1261.852;2045.848;45525.559;42.788;287.691;1004.582;10428.887;40.375;21.35;1.039;1.327;1.131;0.296;0.658;0.472;3.538;3.383;15.97;146.269;192.556;9.062;4.652;12.09;38.405;130.673;223.628;138.83;2.074;2.603;2.756;2.024;1.193;0.523;0.78;1.114;0.825;3.863;0.497;1.306;113.368;102.107;2.168;5.424;16.235;67.334;83.718;32.271;0.979;1.164;1.307;1.393;2.42;1.14;2.623;25.739;51.71;80.131;146.06;257.38;750.648;1.522;2.632;4.977;5.63;5.64;125.419;104.922;3.747;4.446;6.244;7.819;128.528;28.338;0.872;0.282;0.144;1.527;1.269
Col-0_41;Col-0;0.221;0.191;0.196;882.503;61.447;100.949;501.037;37.933;102.737;144.119;4431.784;3.675;8.383;29.011;0.351;0.118;0.849;0.9;8.112;8.615;541.022;1493.474;2113.721;41140.788;29.403;281.168;944.401;9486.7;35.695;11.775;2.522;1.837;1.014;1.466;1.654;0.62;3.697;4.391;19.748;165.283;184.628;11.829;7.772;15.09;48.921;172.165;258.077;147.299;2.381;2.805;3.38;2.53;1.191;0.588;1.108;1.538;1.014;5.187;0.831;1.712;156.499;120.144;3.436;7.453;20.474;88.881;103.697;37.072;1.506;1.561;2.132;2.081;3.808;1.661;5.267;29.985;50.019;119.881;175.12;287.128;759.094;2.068;2.658;4.847;5.707;6.137;125.421;116.644;5.101;7.386;9.485;6.408;113.856;21.379;0.823;0.103;0.07;1.205;0.863
Col-0_42;Col-0;0.397;0.215;0.233;1036.869;65.259;115.725;621.895;42.301;125.826;164.159;5187.921;4.086;9.028;35.11;0.399;0.154;0.91;1.063;16.645;21.456;529.104;1390.006;2411.406;48741.546;34.946;278.239;971.531;10290.374;32.257;19.297;2.509;2.498;1.227;1.423;1.917;0.74;4.391;4.279;23.409;188.036;234.704;11.895;5.865;15.664;53.712;176.451;283.566;172.556;2.419;2.764;3.461;2.704;1.486;0.576;1.039;1.524;1.072;5.048;0.739;1.812;167.049;141.196;3.11;7.452;24.463;97.746;117.017;43.46;1.353;1.5;1.95;2.118;3.033;1.36;3.734;24.721;57.214;89.348;169.026;294.755;909.322;1.591;2.458;5.419;6.018;6.488;161.539;129.639;5.588;6.756;9.305;7.08;147.58;32.307;0.744;0.279;0.098;1.209;0.991
Col-0_43;Col-0;0.383;0.227;0.31;1003.647;62.922;105.869;642.31;41.449;119.295;152.077;5309.447;3.508;6.262;34.061;0.486;0.155;0.834;1.122;13.045;19.767;407.712;967.943;1766.076;49032.686;48.916;310.844;1136.971;10900.134;43.556;31.908;1.459;1.874;1.23;0.791;1.157;0.66;4.273;5;14.985;157.481;240.556;11.431;7.524;11.841;39.51;136.563;265.596;193.424;2.265;2.566;2.939;2.424;1.462;0.572;0.926;1.424;1.144;4.3895;0.702;1.758;137.764;141.194;3.071;6.162;20.516;82.219;108.105;45.439;1.146;1.341;1.575;1.784;2.784;1.421;3.047;32.286;61.767;65.048;148.127;307.556;847.443;1.481;2.567;4.459;6.076;7.864;152.5955;124.051;4.992;4.944;7.746;10.125;161.662;34.739;1.486;0.667;0.258;2.868;2.577
Col-0_44;Col-0;0.208;0.164;0.179;702.636;44.865;73.586;390.386;30;77.178;119.16;3451.679;2.863;6.313;21.195;0.33;0.093;0.622;0.665;10.207;13.152;395.946;1065.989;1541.472;31355.875;24.737;214.916;804.01;7450.24;25.065;14.996;3.363;2.506;1.157;2.016;2.319;0.78;2.76;3.537;11.788;121.78;147.653;8.518;5.72;9.807;29.572;112.051;185.805;110.519;2.084;2.466;2.649;1.881;0.91;0.474;0.765;1.083;0.752;3.676;0.394;1.025;107.916;87.672;2.141;4.967;12.905;59.627;72.577;26.584;1.023;1.094;1.367;1.387;2.466;1.099;3.55;23.826;40.356;79.397;126.318;207.519;581.343;1.45;1.895;3.763;4.062;4.559;93.6335;81.46;3.737;5.779;7.51;5.1;85.341;16.504;0.618;0.113;0.09;0.97;0.782
Col-0_45;Col-0;0.244;0.18;0.211;825;51.218;87.049;491.667;31.156;89.648;116.581;3863.666;3.044;6.639;24.782;0.347;0.142;0.785;0.835;10.799;11.845;428.586;1130.128;1777.805;36330.757;24.739;206.822;664.671;7387.064;26.413;12.432;0.673;1.288;0.872;0.206;0.637;0.395;3.404;3.215;20.236;149.894;176.105;9.129;4.421;12.921;45.687;146.363;222.204;130.827;2.255;2.529;2.946;2.228;1.169;0.542;0.997;1.37;0.93;3.778;0.577;1.321;126.955;104.441;2.365;5.573;18.571;73.86;86.691;32.564;1.073;1.221;1.522;1.633;2.482;1.074;2.743;21.032;41.103;90.106;150.353;255.591;696.571;1.35;2.089;4.303;4.885;5.252;123.7575;103.727;4;4.282;5.876;5.212;109.228;23.477;0.682;0.207;0.063;1.091;0.872
Col-0_46;Col-0;0.322;0.282;0.259;1084.189;61.706;106.892;575.884;48.782;120.064;161.291;5231.959;3.941;6.977;35.954;0.419;0.151;0.761;0.632;17.081;27.45;565.586;1433.73;2286.222;50340.654;52.668;352.065;1151.922;12299.467;54.14;27.49;0.932;1.14;1.116;0.38;0.614;0.411;3.81;3.574;19.374;178.466;193.605;9.846;4.67;16.451;47.556;165.982;247.524;130.911;2.429;2.908;3.26;2.453;1.198;0.655;0.887;1.135;0.76;5.3135;0.754;1.592;149.07;112.328;2.556;7.556;19.676;86.917;97.787;33.644;1.402;1.577;1.796;1.85;3.38;1.439;4.245;24.329;48.577;87.232;165.018;275.082;855.734;1.828;2.989;5.527;5.852;5.605;117.635;124.895;4.007;6.09;8.298;5.877;123.987;27.024;1.102;0.278;0.147;1.702;1.191
Col-0_47;Col-0;0.235;0.182;0.214;875.035;63.492;96.659;501.697;40.117;101.163;156.585;4536.497;3.85;8.737;31.596;0.485;0.179;0.959;1.012;11.613;10.878;567.336;1671.71;2076.364;40477.362;30.282;288.145;916.375;9111.225;34.483;13.19;1.496;1.735;0.818;0.754;1.191;0.618;3.797;3.994;19.544;156.842;191.107;11.233;6.09;13.611;46.824;157.588;246.913;146;1.996;2.653;3.194;2.51;1.28;0.516;0.872;1.214;0.874;5.464;0.722;1.628;146.289;125.325;3.222;6.86;20.169;87.209;106.493;39.912;1.397;1.507;1.92;2.061;3.46;1.703;5.591;29.876;47.804;136.843;189.506;285.851;712.114;1.78;2.443;4.689;5.376;6.196;135.5565;116.098;4.526;8.145;9.927;6.605;116.646;22.836;0.73;0.144;0.069;1.159;0.93
Col-0_48;Col-0;0.327;0.242;0.244;1170.233;72.946;128.707;647.982;48.577;134.162;174.121;5605.773;5.002;10.672;39.439;0.47;0.172;1.039;1.096;16.975;23.973;630.744;1665.527;2835.169;51733.004;39.808;323.401;1062.873;11638.864;32.817;18.938;2.894;2.479;1.482;1.432;1.839;0.702;4.599;4.268;26.215;208.294;237.995;12.499;5.824;18.409;59.501;196.251;297.185;169.431;3.021;3.665;4.448;3.355;1.694;0.733;1.236;1.694;1.149;6.1355;0.744;1.749;182.081;143.245;3.27;8.698;24.75;102.28;118.39;42.062;1.61;1.757;2.394;2.402;3.67;1.542;4.706;24.794;55.254;109.165;193.283;321.922;976.697;2.413;3.229;6.233;6.755;7.012;158.7895;137.995;5.697;7.638;10.2;6.723;149.13;32.816;0.719;0.273;0.072;1.042;0.861
